id,bar_date,isin,open,high,low,close,volume,split,merger,OHLC Avg,price_change
968956,1994-04-18 00:00:00+00:00,US9842451000,24.75,25,24.25,24.25,908300,0,False,24.5625,0
782362,1994-04-18 00:00:00+00:00,US4042511000,15.5,16.38,15.13,16.38,88200,0,False,15.8475,0
